mes,UF_dia_1,504D_UF,504D_$_del_mes,27D_UF,76H_UF,bodegas4_UF,508_UF,509_UF,CE_UF,masa_conocida_UF,masa_conocida_$_del_mes,masa_reajustada_a_UF_hoy_40926.41_$
2019-02,27545.34,12.7063,349999,0.4765,1.9059,1.9059,9.7000,9.7000,53.2000,36.3946,1002502,1489500
2019-03,27557.89,12.7005,349999,0.4763,1.9051,1.9051,9.7000,9.7000,53.2000,36.3870,1002749,1489189
2019-04,27565.76,12.6969,350000,0.4761,1.9045,1.9045,9.7000,9.7000,53.2000,36.3820,1002897,1488985
2019-05,27666.77,12.6506,350001,0.4744,1.8976,1.8976,9.7000,9.7000,53.2000,36.3202,1004863,1486455
2019-06,27765.23,12.6057,350000,0.4727,1.8909,1.8909,9.7000,9.7000,53.2000,36.2602,1006773,1484000
2019-07,27908.86,12.5408,349999,0.4703,1.8811,1.8811,9.7000,9.7000,53.2000,36.1733,1009556,1480443
2019-08,27953.42,13.0574,364999,0.4897,1.9586,1.9586,9.7000,9.7000,53.2000,36.8643,1030483,1508723
2019-09,27994.89,13.0381,365000,0.4889,1.9557,1.9557,9.7000,9.7000,53.2000,36.8384,1031287,1507663
2019-10,28050.40,13.0123,365000,0.4880,1.9518,1.9518,9.7000,9.7000,53.2000,36.8039,1032364,1506252
2019-11,28065.35,13.0054,365001,0.4877,1.9508,1.9508,9.7000,9.7000,53.2000,36.7947,1032656,1505875
2019-12,28229.83,12.9296,365000,0.4849,1.9394,1.9394,9.7000,9.7000,53.2000,36.6933,1035846,1501725
2020-01,28310.86,12.8926,365001,0.4835,1.9339,1.9339,9.7000,9.7000,53.2000,36.6439,1037420,1499703
2020-02,28339.17,12.8797,365000,0.4830,1.9320,1.9320,9.7000,9.7000,53.2000,36.6267,1037970,1498999
2020-03,28469.54,12.8207,364999,0.4808,1.9231,1.9231,9.7000,9.7000,53.2000,36.5477,1040496,1495766
2020-04,28601.15,12.7617,364999,0.4786,1.9143,1.9143,9.7000,9.7000,53.2000,36.4689,1043052,1492541
